
State: AL
   Lat     Lon  COOP# StnID State City/Station Name               County                     Elev      Feb 1      Feb 2      Feb 3      Feb 4      Feb 5      Feb 6      Feb 7      Feb 8      Feb 9      Feb10      Feb11      Feb12      Feb13      Feb14      Feb15      Feb16      Feb17      Feb18      Feb19      Feb20      Feb21      Feb22      Feb23      Feb24      Feb25      Feb26      Feb27      Feb28
 35.65  -94.15 035018          AR MOUNTAINBURG 2 NE               CRAWFORD                     793  -9999.000      0.100  -9999.000  -9999.000      3.000  -9999.000  -9999.000  -9999.000      0.200      2.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 35.12  -90.18 037712 WMPA4    AR WEST MEMPHIS                    CRITTENDEN                   215  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000      0.100  -9999.000      3.500      0.100  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000
 35.25  -90.80 038052 WYYA4    AR WYNNE                           CROSS                        260  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.82  -92.40 032540          AR FORDYCE                         DALLAS                       230  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      3.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.92  -92.83 036768          AR SPARKMAN                        DALLAS                       170  -9999.000  -9999.000  -9999.000      0.300      3.000  -9999.000      0.000      0.000  -9999.000      4.000      0.000      0.000      0.000  -9999.000  -9999.000      0.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.77  -91.27 033831          AR KELSO                           DESHA                        145  -9999.000  -9999.000  -9999.000      0.000      0.000  -9999.000      0.000  -9999.000  -9999.000      3.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.69  -91.33 034708          AR MCARTHUR                        DESHA                        143  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000      5.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.81  -91.27 036253 RHWA4    AR ROHWER 2 NNE                    DESHA                        150  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.64  -91.76 034900          AR MONTICELLO MUNI AP              DREW                         290      0.000      0.000      0.000      2.000      0.000  -9999.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000
 35.08  -92.43 031596          AR CONWAY                          FAULKNER                     315      0.000      0.000  -9999.000  -9999.000      2.500      0.000      2.000      0.000      0.000      6.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000
 35.21  -92.45 038010          AR WOOSTER                         FAULKNER                     330  -9999.000      0.000  -9999.000  -9999.000      2.600      0.000      1.600      0.000      0.000      5.900      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 35.51  -93.87 035512          AR OZARK 2                         FRANKLIN                     830  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000      1.000      5.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
