lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,11_31,TotalSnow
48.30,-114.26,244558,FCA,MT,KALISPELL GLACIER AP,FLATHEAD,2957,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,-1,0.000,0.000,0.000,-1,0.000,0.000,0.300,2.600,0.000,0.000,0.000,0.500,1.000,0.000,0.000,2.400,1.400,1.800,1.800,0.000,2.000,0,13.8
48.55,-114.57,246218,OLNM,MT,OLNEY,FLATHEAD,3165,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,2.000,0.000,0.000,-1,-1,5.000,5.000,0.000,0.000,-1,0.000,0.000,-1,0.000,2.000,2.000,2.000,0.000,0.000,0,18.0
48.11,-114.88,246580,,MT,PLEASANT VALLEY 5 SE,FLATHEAD,3540,-1,0.000,0.000,0.000,-1,-1,-1,-1,0.000,0.000,-1,0.000,0.000,-1,-1,0.000,3.000,2.200,1.800,0.000,-1,-1,1.500,0.000,-1,-1,-1,-1,-1,0.000,0,8.5
48.50,-113.98,248809,WGLM,MT,WEST GLACIER,FLATHEAD,3154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1,4.000,3.000,1.800,0.100,0.100,1.000,0.500,-1,-1,-1,3.500,4.500,0.000,1.500,0,20.0
48.41,-114.36,248902,WHFM,MT,WHITEFISH,FLATHEAD,3100,0.000,0.000,-1,0.000,0.000,-1,-1,-1,-1,0.000,-1,0.000,0.000,0.000,0.000,0.000,-1,2.000,-1,0.000,0.000,2.000,-1,0.000,0.000,3.000,3.000,1.000,2.000,0.000,0,13.0
45.28,-111.32,240775,,MT,BIG SKY 2WNW,GALLATIN,6590,0.000,-1,0.000,0.000,0.000,-1,0.000,5.000,0.200,0.000,0.000,0.000,-1,4.500,3.500,5.500,0.800,0.000,5.700,6.500,0.700,1.500,6.500,-1,-1,-1,1.000,0.500,0.400,0.300,0,42.6
45.68,-111.15,241047,,MT,BOZEMAN 6 W EXP FARM,GALLATIN,4775,-1,-1,-1,-1,-1,-1,-1,2.000,2.000,-1,0.000,0.000,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4.0
45.66,-111.05,241044,BZEM,MT,BOZEMAN MONTANA ST U,GALLATIN,4913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,3.200,0.000,0.000,0.000,0.200,0.600,-1,1.500,0.000,0.000,4.600,0.200,0.000,1.000,2.000,2.000,0.500,0.900,0.000,1.000,1.400,0.000,0,19.1
45.88,-111.42,245123,,MT,LOGAN LANDFILL,GALLATIN,4243,-1,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1,0.000,0.000,0.000,0.000,2.500,-1,0.300,3.000,2.000,-1,0.000,0.000,-1,0.500,-1,0,8.3
44.66,-111.10,248858,,MT,WEST YELLOWSTONE GATEWAY,GALLATIN,6700,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,3.000,2.000,0.200,0.000,0.000,0.000,2.000,3.500,1.000,0.000,0.000,11.000,5.000,5.000,8.000,2.000,0.000,2.000,1.000,1.500,0.000,0.000,0,47.2
49.00,-112.79,242301,,MT,DEL BONITA,GLACIER,4337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.000,2.000,-1,1.000,2.000,0.500,-1,-1,-1,-1,3.000,3.500,-1,-1,0,15.0
46.30,-109.26,247261,,MT,RYEGATE,GOLDEN VALLEY,3650,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1,-1,-1,0.000,0.000,0.000,0.000,6.000,2.000,1.000,0.000,0.000,-1,-1,-1,2.000,1.000,0.000,0.000,0,12.0
46.53,-109.34,247263,RYGM,MT,RYEGATE 18 NNW,GOLDEN VALLEY,4440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,2.500,2.500,0.000,0.000,2.000,4.500,0.000,3.000,1.500,1.500,0.000,0.000,0.000,0.000,0.000,0,17.6
46.64,-113.18,242500,3DU,MT,DRUMMOND AVIATION,GRANITE,4000,0.000,-1,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.900,0.000,1.000,0.000,1.100,0.300,0.600,2.600,0.200,0.000,0.000,0.000,1.300,0.000,0.000,0,9.0
46.32,-113.30,246472,,MT,PHILIPSBURG RS,GRANITE,5270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.300,0.600,-1,-1,6.000,-1,-1,0.000,0.000,-1,-1,2.200,0.000,0,10.0
48.50,-109.80,243110,ASNM,MT,FT ASSINNIBOINE,HILL,2613,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.100,0.000,0.000,1.000,1.800,0.500,1.500,-1,-1,-1,0.000,0.400,0.900,0.000,0,8.2
48.54,-109.76,243996,HVR,MT,HAVRE AP ASOS,HILL,2585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,12.000,0.000,1.000,-1,1.000,-1,0.500,2.500,0.200,0.200,0.000,0.000,0.500,0.000,0.000,0,17.9
49.00,-110.21,247620,,MT,SIMPSON 6 N WILDHORSE,HILL,2815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,4.000,8.500,1.000,0.000,-1,0.000,0.000,0.000,-1,-1,-1,-1,-1,0,13.5
46.23,-112.11,241008,BOUM,MT,BOULDER,JEFFERSON,4904,0.000,-1,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,-1,0.000,-1,-1,0.000,1.000,0.000,0.000,0.500,-1,-1,0.500,1.000,0.000,-1,0.000,-1,0.000,0.000,0.000,0,3.0
47.00,-109.87,244193,,MT,HOBSON,JUDITH BASIN,4244,-1,0.000,0.000,0.000,0.000,0.000,0.000,2.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,2.000,0.000,2.000,0.500,2.000,3.000,-1,0.000,-1,0.000,0.000,0.000,-1,0,11.5
47.15,-110.22,247864,STNM,MT,STANFORD,JUDITH BASIN,4860,-1,-1,-1,-1,-1,-1,-1,0.100,1.000,-1,0.000,0.000,0.000,-1,-1,2.000,1.000,0.000,0.000,2.000,0.000,0.500,2.000,0.500,-1,-1,-1,0.000,0.000,-1,0,9.1
47.88,-114.03,240755,,MT,BIGFORK 13 S,LAKE,2910,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.500,1.000,0,11.5
